Visible Actions,Stemmed Visible Actions
add chili powder cumin lemon pepper,add chili powder cumin lemon pepper
makes these delicious,make these delicious
cook for about five to eight minutes,cook for about five to eight minutes
adding portobello mushrooms,add portobello mushrooms
start by,start by
add some,add some
adding in my onions,add in my onions
floss,floss
hop into bed,hop into bed
cleaning the kitchen,clean the kitchen
clean this,clean this
sprinkled some cilantro,sprinkle some cilantro
wipe this down at multiple times a week,wipe this down at multiple times a week
feeding my toilet,feed my toilet
using the method toilet bowl cleaner,use the method toilet bowl cleaner
went on instagram for like a minute or two,go on instagram for like a minute or two
look over my list again,look over my list again
check my emails,check my emails
finish my toast,finish my toast
staining these pieces of wood,stain these pieces of wood
match wood,match wood
use regular eggs or egg whites,use regular eggs or egg whites
assemble your burrito,assemble your burrito
heat them up,heat them up
cooking your eggs,cook your eggs
pop the lid on,pop the lid on
make some blueberry quick oats packet of your favorite instant oatmeal,make some blueberry quick oats packet of your favorite instant oatmeal
pop in the freezer for the next morning,pop in the freezer for the next morning
add almond milk or water,add almond milk or water
pop this into your nutribullet,pop this into your nutribullet
using this blueberry one by nature path one tablespoon of chia superfood also by nature path,use this blueberry one by nature path one tablespoon of chia superfood also by nature path
measure in a cup,measure in a cup
crumble apart your dough,crumble apart your dough
shaving cream,shave cream
colouring if,color if
mix our ingredients,mix our ingredients
whisking until it,whisk until it
form a solid,form a solid
using this jesse j palette by makeup forever,use this jesse j palette by makeup forever
blush on,blush on
blush there,blush there
applied the cc cream,apply the cc cream
do kind of conceals,do kind of conceals
covers up,cover up
use something to kind of even out my skin tone the little tiny bit of melasma,use something to kind of even out my skin tone the little tiny bit of melasma
put a little bit,put a little bit
put a concealer under my eyes,put a concealer under my eyes
blush every single day,blush every single day
using the it cosmetics,use the it cosmetics
going palette by makeup forever,go palette by makeup forever
wipe some of it off,wipe some of it off
take two eggs,take two eggs
take a paper towel,take a paper towel
put some unsweetened coconut oil in it,put some unsweetened coconut oil in it
put the feta in,put the feta in
put this coconut oil on it,put this coconut oil on it
mix them together,mix them together
take some feta cheese,take some feta cheese
spraying the bed sheets with natural scented spray,spray the bed sheets with natural scented spray
flip the jingle bell over,flip the jingle bell over
take a bucket,take a bucket
jingle bells on our tree,jingle bells on our tree
use a pen or marker,use a pen or marker
put the jingle bell on your tree,put the jingle bell on your tree
put all the jingle bells in there,put all the jingle bells in there
writing all of your bucket list items on to your jingle bells,write all of your bucket list items on to your jingle bells
decorated your tree,decor your tree
written out,write out
do a really really really quick stretch,do a really really really quick stretch
put on my moccasins,put on my moccasins
get some protein,get some protein
put the package in there,put the package in there
cook these oats,cook these oats
put it on medium heat,put it on medium heat
put in my oats,put in my oats
heating up,heat up
chopped up a little bit of cucumber,chop up a little bit of cucumber
got leftover sweet potato,got leftover sweet potato
cut them up,cut them up
slicing it up,slice it up
got some greens,got some greens
move on to my eyebrows,move on to my eyebrows
brush through my eye brushes brushes,brush through my eye brushes brushes
use this mascara brush,use this mascara brush
brush through my eyebrows,brush through my eyebrows
roasting the butternut squash,roast the butternut squash
shake it up,shake it up
stick that right into the oven to roast,stick that right into the oven to roast
drizzling a little bit of coconut oil,drizzl a little bit of coconut oil
add the sauce,add the sauce
added some nutritional yeast,add some nutritional yeast
eat it straight out of the jar with a spoon,eat it straight out of the jar with a spoon
added our pink cool whip,add our pink cool whip
adding a bit of gel food,add a bit of gel food
took the heart cake out of the freezer,take the heart cake out of the freezer
top it with raspberries,top it with raspberries
coloring to the cool whip,color to the cool whip
using a serum or an oil underneath,use a serum or an oil underneath
put some cc cream on this,put some cc cream on this
ate roughly calories,eat roughly calories
spritzing a little lavender pillow,spritz a little lavender pillow
finished with a lip balm,finish with a lip balm
moisturize my body every night,moisturize my body every night
use a melatonin spray,use a melatonin spray
make oatmeal,make oatmeal
topping my oats with some fresh mango,top my oats with some fresh mango
adding about tablespoon of dried coconut flakes,add about tablespoon of dry coconut flakes
brush my teeth,brush my teeth
brush it out,brush it out
using my mixed nature face cream,use my mixed nature face cream
protect my skin,protect my skin
lined cookie,line cookie
break up the mushroom,break up the mushroom
toss it,toss it
bake until,bake until
prepping your arugula salad,prep your arugula salad
drizzling on that salad,drizzl on that salad
take them out,take them out
pop it into the oven on the lower shelf,pop it into the oven on the lower shelf
use a like a tongs or something like it,use a like a tongs or something like it
transfer to a parchment,transfer to a parchment
use my hands,use my hands
mixing it,mix it
drink our tea,drink our tea
wears beautifully,wear beautifully
happens pretty much every morning,happen pretty much every morning
hanging out at home,hang out at home
removing them from the bath,remove them from the bath
disinfecting wipes,disinfect wipes
look at this mirror,look at this mirror
clean it,clean it
combine the last of their laundry,combine the last of their laundry
adding some fruit to my salads,add some fruit to my salads
add healthy protein,add healthy protein
do this,do this
adding the rest of the ingredients,add the rest of the ingredients
massaged the kale,massage the kale
adding about one cup of cooked beetroot pieces,add about one cup of cook beetroot pieces
break down the phytates in the kale,break down the phytates in the kale
toss now,toss now
clean up after dinner,clean up after dinner
share with guys what my typical routine looks like every day,share with guys what my typical routine look like every day
clean up right after,clean up right after
share my night,share my night
jump right in,jump right in
ends up,end up
make this omelet for an easy lunch or dinner,make this omelet for an easy lunch or dinner
spread out over half of the omelette,spread out over half of the omelette
serve it with an avocado for some healthy fat the eggs,serve it with an avocado for some healthy fat the eggs
sprinkled a little bit of sea salt,sprinkle a little bit of sea salt
add some healthy greens the flavor of the arguer,add some healthy greens the flavor of the arguer
fold on it over,fold on it over
watering my plants,water my plants
fit into my morning routine,fit into my morning routine
cleaning for example,cleaning for example
planning my ideal morning routine,plan my ideal morning routine
add as much or as little,add as much or as little
added a little extra bit in there,add a little extra bit in there
got some pure ohio maple syrup,got some pure ohio maple syrup
shake it up,shake it up
get some more,get some more
apply it,apply it
go back into this eyeshadow palette,go back into this eyeshadow palette
blurring brush,blur brush
blends it,blend it
use this elf foundation,use this elf foundation
do in the morning,do in the morning
cleansing my skin,clean my skin
remove cream cleansers with a damp cloth,remove cream cleansers with a damp cloth
share with guys,share with guys
cleansing my skin,clean my skin
use my clarisonic,use my clarisonic
done for my skin,do for my skin
use that with the clarisonic cleanser,use that with the clarisonic cleanser
use the clarisonic mia,use the clarisonic mia
decorating or redecorating,decor or redecorate
make sure that my space,make sure that my space
starting out in my kitchen,start out in my kitchen
filmed this,film this
get on into it,get on into it
clear up the counters,clear up the counters
stir it we,stir it we
cook for minutes on medium heat,cook for minutes on medium heat
put your oats right in there,put your oats right in there
cooking for minutes,cooking for minutes
simmer for about five minutes,simmer for about five minutes
using half the amount of the cinnamon,use half the amount of the cinnamon
stick now,stick now
giving it a little,give it a little
stick to the bottom,stick to the bottom
sprinkle it over top,sprinkle it over top
stir next,stir next
sprinkle that in,sprinkle that in
shredded apple along with the unsweetened almond milk,shred apple along with the unsweetened almond milk
get them from walmart from amazon anywhere,get them from walmart from amazon anywhere
grab it,grab it
moving back into the living room,move back into the living room
got a couple bunches of flowers from the dollar tree,got a couple bunches of flowers from the dollar tree
set those in there,set those in there
wash that out,wash that out
add essential oils into my drain,add essential oils into my drain
wipe down my counters today,wipe down my counters today
change the attachment,change the attachment
vacuum all of our floors,vacuum all of our floors
put into the washing machine,put into the wash machine
going as well,go as well
take the kale,take the kale
defrost right in there,defrost right in there
take our cooked oatmeal,take our cook oatmeal
put this in a container,put this in a container
mix that in,mix that in
put about cup of the blueberries into the oatmeal,put about cup of the blueberries into the oatmeal
add in some frozen blueberries,add in some frozen blueberries
put that right into the bowl,put that right into the bowl
cubed chicken into a pan,cube chicken into a pan
finish that off with the juice of half of a large lemon,finish that off with the juice of half of a large lemon
frying some asparagus or veggie of your choice with some ginger,fry some asparagus or veggie of your choice with some ginger
put a large container of this aside,put a large container of this aside
subscribed to my channel,subscribe to my channel
use onion bell peppers,use onion bell peppers
chop,chop
chop up your fresh herbs,chop up your fresh herbs
caramelize for about three to five minutes,caramelize for about three to five minutes
chopping up all of your veggies,chop up all of your veggies
give them a little bit of sauteing,give them a little bit of saute
use chives,use chives
used about a half of an onion one bell pepper,use about a half of an onion one bell pepper
applying my moisturizer,apply my moisturizer
hydrating mist,hydrate mist
moved it over next to the couch,move it over next to the couch
burnt myself with my curling on the other day,burn myself with my curling on the other day
look at this,look at this
look nice,look nice
cut up our slime,cut up our slime
makes the clay super soft mix,make the clay super soft mix
holds its shape,hold its shape
put down,put down
put the full recipes with a calorie breakdown for everything,put the full recipes with a calorie breakdown for everything
ate today over on the blog,eat today over on the blog
adding maca powder to my oats,add maca powder to my oats
thrown on some gray sweatpants,throw on some gray sweatpants
get into something a little bit more snuggly,get into something a little bit more snuggly
watch a movie cuz,watch a movie cuz
got my laptop,got my laptop
get up out of bed,get up out of bed
watch clueless this morning,watch clueless this morning
snuggle in bed all morning,snuggle in bed all morning
snuggling under the blanket,snuggle under the blanket
do with this room,do with this room
moved into this house,move into this house
do our own thing for a few hours,do our own thing for a few hours
use the hazelnut or vanilla one,use the hazelnut or vanilla one
pour it into my mug,pour it into my mug
boil my water,boil my water
use a creamer,use a creamer
put it in my french press,put it in my french press
set a timer for four minutes,set a timer for four minutes
press it,press it
take two tablespoons of that,take two tablespoons of that
got this little orange juice,got this little orange juice
got some gerade kombucha for me,got some gerade kombucha for me
moving on some more beverages,move on some more beverages
got this hazelnut kind,got this hazelnut kind
recommend a smoothie,recommend a smoothie
put some powdered peanut butter,put some powdered peanut butter
explain to what,explain to what
putting an ice cube in it,put an ice cube in it
show what,show what
pour your mixture,pour your mixture
put about half a cup of chia seeds in your container,put about half a cup of chia seeds in your container
stir this all,stir this all
commingle in there,commingle in there
add one cup of filtered water two cups of apple,add one cup of filter water two cups of apple
try this super easy banana,try this super easy banana
add our second layer,add our second layer
adding the coconut milk yogurt,add the coconut milk yogurt
cement cinnamon,cement cinnamon
use raw oats,use raw oats
put on a christmas playlist,put on a christmas playlist
cut in half this,cut in half this
playing with our water toys,play with our water toys
create buttons,create buttons
customize your lightsaber,customize your lightsaber
repeat the same thing with your second piece of page fold your corners up,repeat the same thing with your second piece of page fold your corners up
use colored tape,use colored tape
wrap it around the top,wrap it around the top
turn the noodle over,turn the noodle over
place the first piece inches from the end of your noodle,place the first piece inches from the end of your noodle
grate,grate
pour in your water,pour in your water
bring it to a slight simmer,bring it to a slight simmer
going to dice it into cubes,go to dice it into cubes
grate the entire thing,grate the entire thing
cleaning the kitchen,clean the kitchen
cleaning the countertops,clean the countertops
give your kitchen that showroom,give your kitchen that showroom
working in sections with my polishing cloth,work in sections with my polish cloth
going in any of the cabinetry,go in any of the cabinetry
take my rag,take my rag
walk straight out the front door,walk straight out the front door
grab all of the clothes,grab all of the clothes
go off to the dirty wash basket,go off to the dirty wash basket
throwing clothes on chairs or over my dining table,throw clothes on chairs or over my dining table
do things,do things
rinse it off,rinse it off
rub it in with any type of one dollar scrub brush or sponge,rub it in with any type of one dollar scrub brush or sponge
clean the bathroom,clean the bathroom
add teaspoon of pure maple syrup,add teaspoon of pure maple syrup
adding half a cup of sliced strawberry pieces,add half a cup of sliced strawberry pieces
add a pinch of cinnamon,add a pinch of cinnamon
soak in the fridge overnight,soak in the fridge overnight
sweeten the oats,sweeten the oats
use raw honey,use raw honey
soak in the fridge,soak in the fridge
add some nuts or nut butter to my oats for extra protein,add some nuts or nut butter to my oats for extra protein
take a comb,take a comb
using this coconut water shampoo,use this coconut water shampoo
sweeten it up a little bit,sweeten it up a little bit
add stevia to this then about cup of your favorite nuts,add stevia to this then about cup of your favorite nuts
sprinkle of honey,sprinkle of honey
scoop them in to your mold a mini muffin pan,scoop them in to your mold a mini muffin pan
pop these in the freezer,pop these in the freezer
stir it all up to then,stir it all up to then
stir it all up,stir it all up
tackle a few chores on your list,tackle a few chores on your list
do my hair for dance,do my hair for dance
pick out a shirt some shorts,pick out a shirt some shorts
brush up my hair,brush up my hair
head over to my closet,head over to my closet
getting ready for dance,get ready for dance
using this brush,use this brush
lined my lips with that,line my lips with that
hydrating facial toner by fresh,hydrate facial toner by fresh
start with my veggie mix,start with my veggie mix
fold it all up,fold it all up
add a little dollop of sour cream,add a little dollop of sour cream
sit down,sit down
add tsp of olive oil,add tsp of olive oil
break down the phytates in the kale,break down the phytates in the kale
rub the olive oil into the kale,rub the olive oil into the kale
add some healthy fats to my salad,add some healthy fats to my salad
add whatever seasonings,add whatever seasonings
add in your tomatoes,add in your tomatoes
add in your chicken stock,add in your chicken stock
combine that all together,combine that all together
cooked,cook
add your onion,add your onion
get your tomatoes in a glass jar versus a stock,get your tomatoes in a glass jar versus a stock
add salt pepper some cayenne,add salt pepper some cayenne
top my pancakes with some fresh maple syrup,top my pancakes with some fresh maple syrup
dig right in,dig right in
got my fork here,got my fork here
pour one big spoon of your pancake batter onto the skillet,pour one big spoon of your pancake batter onto the skillet
using a nonstick pan to two minutes on each side,use a nonstick pan to two minutes on each side
tastes delicious,tastes delicious
make dinner,make dinner
got my lunch together,got my lunch together
topped it on top of some arugula with a little spoonful of avocado,top it on top of some arugula with a little spoonful of avocado
clean the outside of the toilet,clean the outside of the toilet
put something in,put something in
stock the bathroom with my favorite products,stock the bathroom with my favorite products
cleaned it out,clean it out
using this method surface cleaner,use this method surface cleaner
using my switch our water,use my switch our water
use a vacuum,use a vacuum
use my lysol wipes,use my lysol wipes
tried out the laser genesis at kate somerville,try out the laser genesis at kate somerville
give our oatmeal a nice creamy consistency,give our oatmeal a nice creamy consistency
add a full cup of banana,add a full cup of banana
soak up the water,soak up the water
adding banana,add banana
makes this oatmeal,make this oatmeal
simmer at a low temperature,simmer at a low temperature
adding our chicken mixture,add our chicken mixture
going for really like this dark wood feel,go for really like this dark wood feel
measure it,measure it
took a cloth,take a cloth
stain it dark depending on your style,stain it dark depend on your style
dropped my toothpaste accountants,drop my toothpaste accountants
made it,make it
do it,do it
make my bed,make my bed
read for that day,read for that day
reading the secret daily teachings books,read the secret daily teachings books
mix it together,mix it together
prepping this last night,prep this last night
adding teaspoons of raw cacao powder,add teaspoons of raw cacao powder
making healthy chocolate overnight oats teaspoon of pure maple syrup optional,make healthy chocolate overnight oats teaspoon of pure maple syrup optional
use the cinnamon,use the cinnamon
make a whole batch at the start of the week,make a whole batch at the start of the week
mix half a cup of whole rolled oats with two teaspoons of chia seeds,mix half a cup of whole rolled oats with two teaspoons of chia seeds
completed that task,complete that task
flip them over your tree,flip them over your tree
flip this one over,flip this one over
decorated beautifully,decor beautifully
add to the mixture,add to the mixture
grinds of black pepper,grind of black pepper
stir that up,stir that up
add a great texture to the salad,add a great texture to the salad
adding raw sunflower seeds raw sunflower seeds,add raw sunflower seeds raw sunflower seeds
leave out the bananas,leave out the bananas
making a healthy chickpea brown rice,make a healthy chickpea brown rice
use another good cooking oil,use another good cooking oil
cook,cook
make it,make it
throwing in cup of sliced button mushrooms cup of sliced zucchini,throw in cup of sliced button mushrooms cup of sliced zucchini
adding tsp of macadamia nut oil,add tsp of macadamia nut oil
start,start
throw in a few sperrys,throw in a few sperrys
cook my vegetables,cook my vegetables
smell incredible,smell incredible
add it,add it
add the tofu mixture to the veggies,add the tofu mixture to the veggies
called for in the recipe,call for in the recipe
do a couple of grains,do a couple of grains
set an alarm,set an alarm
drink some water usually a glass or two,drink some water usually a glass or two
brush my teeth,brush my teeth
head into the bathroom,head into the bathroom
drink water in the morning,drink water in the morning
make some tea this morning,make some tea this morning
check all the socials instagram,check all the socials instagram
brush your teeth,brush your teeth
screw into those flanges,screw into those flanges
drilling in the flanges into the board,drilling in the flanges into the board
sit down for a few minutes,sit down for a few minutes
pitted for olives then my favorite salad,pit for olives then my favorite salad
dressing recipe a squeeze of fresh lemon,dress recipe a squeeze of fresh lemon
add in your greens,add in your greens
serve mine personally with some brown rice at the bottom of the bowl,serve mine personally with some brown rice at the bottom of the bowl
add in swiss chard,add in swiss chard
add our black eyed peas,add our black eyed peas
serve,serve
